"","method","variate","design","number","RMSE","time_mod","time_alg","time_overall"
"190","exhaustive_test","AGB","regular",40,30.9243463235129,NA,NA,NA
"191","exhaustive_test","AGB","regular",41,31.5912913685427,NA,NA,NA
"192","exhaustive_test","AGB","regular",42,31.2992496660178,NA,NA,NA
"193","exhaustive_test","AGB","regular",43,30.9129829589141,NA,NA,NA
"194","exhaustive_test","AGB","regular",44,30.7468220447939,NA,NA,NA
"195","exhaustive_test","AGB","regular",45,31.1434183793694,NA,NA,NA
"196","exhaustive_test","AGB","regular",46,30.8084284028358,NA,NA,NA
"197","exhaustive_test","AGB","regular",47,31.2492414677676,NA,NA,NA
"198","exhaustive_test","AGB","regular",48,33.0356397270122,NA,NA,NA
"199","exhaustive_test","AGB","regular",49,30.4841754580362,NA,NA,NA
"200","exhaustive_test","AGB","regular",50,31.4276005666784,NA,NA,NA
"201","exhaustive_test","AGB","simpleRandom",1,31.5319296493265,NA,NA,NA
"202","exhaustive_test","AGB","simpleRandom",2,32.0558129754365,NA,NA,NA
"203","exhaustive_test","AGB","simpleRandom",3,31.1999556418291,NA,NA,NA
"204","exhaustive_test","AGB","simpleRandom",4,31.7079501415837,NA,NA,NA
"205","exhaustive_test","AGB","simpleRandom",5,31.7391593178597,NA,NA,NA
"206","exhaustive_test","AGB","simpleRandom",6,31.3868464809791,NA,NA,NA
"207","exhaustive_test","AGB","simpleRandom",7,32.5290235300413,NA,NA,NA
"208","exhaustive_test","AGB","simpleRandom",8,31.7033446286269,NA,NA,NA
"209","exhaustive_test","AGB","simpleRandom",9,32.4718897878699,NA,NA,NA
"210","exhaustive_test","AGB","simpleRandom",10,31.4951982734299,NA,NA,NA
"211","exhaustive_test","AGB","simpleRandom",11,31.1885825019653,NA,NA,NA
"212","exhaustive_test","AGB","simpleRandom",12,31.8794920556025,NA,NA,NA
"213","exhaustive_test","AGB","simpleRandom",13,31.7194837144783,NA,NA,NA
"214","exhaustive_test","AGB","simpleRandom",14,31.9664457115702,NA,NA,NA
"215","exhaustive_test","AGB","simpleRandom",15,32.0933948106372,NA,NA,NA
"216","exhaustive_test","AGB","simpleRandom",16,30.8471692982532,NA,NA,NA
"217","exhaustive_test","AGB","simpleRandom",17,32.6152003346409,NA,NA,NA
"218","exhaustive_test","AGB","simpleRandom",18,32.0167683609564,NA,NA,NA
"219","exhaustive_test","AGB","simpleRandom",19,32.2305986043174,NA,NA,NA
"220","exhaustive_test","AGB","simpleRandom",20,30.9062558621459,NA,NA,NA
