"","method","variate","design","number","RMSE","MEC"
"223","exhaustive_old","AGB","clusterStrong",23,30.700715070409,0.825432276261792
"224","exhaustive_old","AGB","clusterStrong",24,30.4350194856867,0.82844075148461
"225","exhaustive_old","AGB","clusterStrong",25,30.1126717239254,0.832055592600039
"226","exhaustive_old","AGB","clusterStrong",26,30.3563733425304,0.829326247253354
"227","exhaustive_old","AGB","clusterStrong",27,30.9236812618643,0.822887446937473
"228","exhaustive_old","AGB","clusterStrong",28,31.5093243748004,0.816115489021998
"229","exhaustive_old","AGB","clusterStrong",29,32.1059224195899,0.809086222521562
"230","exhaustive_old","AGB","clusterStrong",30,30.6218138141138,0.826328406107221
"231","exhaustive_old","AGB","clusterStrong",31,31.2074138271426,0.819622432095076
"232","exhaustive_old","AGB","clusterStrong",32,29.3024279085969,0.840971786846531
"233","exhaustive_old","AGB","clusterStrong",33,30.9643326414269,0.822421486760914
"234","exhaustive_old","AGB","clusterStrong",34,31.4601359546027,0.816689155948861
"235","exhaustive_old","AGB","clusterStrong",35,30.9890734375299,0.822137599551917
"236","exhaustive_old","AGB","clusterStrong",36,31.3262639750812,0.81824591799222
"237","exhaustive_old","AGB","clusterStrong",37,30.499167514255,0.827716796934689
"238","exhaustive_old","AGB","clusterStrong",38,31.610693313205,0.814930432739061
"239","exhaustive_old","AGB","clusterStrong",39,30.3548919651187,0.829342904452169
"240","exhaustive_old","AGB","clusterStrong",40,30.019878208573,0.83308905389275
"241","exhaustive_old","AGB","clusterStrong",41,31.5427383786447,0.815725282266136
"242","exhaustive_old","AGB","clusterStrong",42,31.1076393265157,0.82077397334473
"243","exhaustive_old","AGB","clusterStrong",43,33.4489675611314,0.792779650613745
"244","exhaustive_old","AGB","clusterStrong",44,30.2383595714877,0.830650694090779
"245","exhaustive_old","AGB","clusterStrong",45,31.1281800887972,0.820537204837828
"246","exhaustive_old","AGB","clusterStrong",46,30.7389008663211,0.824997748722415
"247","exhaustive_old","AGB","clusterStrong",47,31.221718942954,0.819457028232535
"248","exhaustive_old","AGB","clusterStrong",48,30.3348865831516,0.829567773337754
"249","exhaustive_old","AGB","clusterStrong",49,33.2850427824571,0.794805740913184
"250","exhaustive_old","AGB","clusterStrong",50,30.2807819475813,0.830175189498467
"251","exhaustive_old","AGB","clusterStrong",51,29.9963283004983,0.833350826816902
"252","exhaustive_old","AGB","clusterStrong",52,31.117112112869,0.820664802196061
"253","exhaustive_old","AGB","clusterStrong",53,32.61183303715,0.803022152497056
"254","exhaustive_old","AGB","clusterStrong",54,30.6134677399929,0.826423062712113
"255","exhaustive_old","AGB","clusterStrong",55,32.6700548618942,0.80231819654558
"256","exhaustive_old","AGB","clusterStrong",56,32.1322315568398,0.808773206457961
"257","exhaustive_old","AGB","clusterStrong",57,30.7223970453618,0.825185616889292
"258","exhaustive_old","AGB","clusterStrong",58,32.132042339344,0.808775458610813
"259","exhaustive_old","AGB","clusterStrong",59,30.0472431451568,0.83278461633285
"260","exhaustive_old","AGB","clusterStrong",60,35.1005142683633,0.771811409416162
"261","exhaustive_old","AGB","clusterStrong",61,31.169947127387,0.820055284070428
"262","exhaustive_old","AGB","clusterStrong",62,30.7669637630211,0.824678068335185
"263","exhaustive_old","AGB","clusterStrong",63,29.7606314360847,0.835959437482356
"264","exhaustive_old","AGB","clusterStrong",64,29.203304670376,0.842045877333369
"265","exhaustive_old","AGB","clusterStrong",65,31.0628090171103,0.821290178933867
"266","exhaustive_old","AGB","clusterStrong",66,29.972836613535,0.833611747900344
"267","exhaustive_old","AGB","clusterStrong",67,31.1551843555608,0.820225695248056
"268","exhaustive_old","AGB","clusterStrong",68,30.4567968662091,0.828195149690169
"269","exhaustive_old","AGB","clusterStrong",69,29.9172763357012,0.83422803986859
"270","exhaustive_old","AGB","clusterStrong",70,30.2273110213149,0.830774425834368
"271","exhaustive_old","AGB","clusterStrong",71,30.778798053954,0.82454316976068
"272","exhaustive_old","AGB","clusterStrong",72,31.4244417918964,0.817104883028974
"273","exhaustive_old","AGB","clusterStrong",73,31.8553247848989,0.812054885237294
"274","exhaustive_old","AGB","clusterStrong",74,32.3150237975829,0.806591335055112
"275","exhaustive_old","AGB","clusterStrong",75,31.0084651330936,0.821914931864416
"276","exhaustive_old","AGB","clusterStrong",76,31.1784088719319,0.819957571174765
"277","exhaustive_old","AGB","clusterStrong",77,30.0019017421131,0.833288892855124
"278","exhaustive_old","AGB","clusterStrong",78,31.962963482492,0.81078261152887
"279","exhaustive_old","AGB","clusterStrong",79,30.2453785804174,0.83057206533808
"280","exhaustive_old","AGB","clusterStrong",80,33.1901284051602,0.795974320872769
"281","exhaustive_old","AGB","clusterStrong",81,33.3322740008817,0.794222989611424
"282","exhaustive_old","AGB","clusterStrong",82,30.6004653612134,0.826570477165043
"283","exhaustive_old","AGB","clusterStrong",83,30.8946029816157,0.823220376708361
"284","exhaustive_old","AGB","clusterStrong",84,32.7796418563477,0.800989782002517
"285","exhaustive_old","AGB","clusterStrong",85,30.2388866619359,0.830644790121067
"286","exhaustive_old","AGB","clusterStrong",86,31.9106611577786,0.811401353421439
"287","exhaustive_old","AGB","clusterStrong",87,30.654332393852,0.825959352053482
